昵称,id,学历,学校,学院,专业,经验,简介
木南,599791e67efa32c12c4947bb,工程师,美资公司,研发部,Electrical and Electronic Engineering,资深消费电子产品设计工程师,
宁静致远,5997c1d67efa32c12c4947c8,分析师,深圳国学智库研究院,研究部,Economics / Finance,研究爱好者,毕业之后一直从事金融资产、财富管理行业研究。
作手,59979b4b7efa32c12c4947bc,工程师,中冶集团,成都理工,Economics,股票兼职作手，其实我是一名搬砖工！,just  so  so
Albert Lee,5997f1297efa32c12c4947cd,PhD candidate,一桥大学,经济学研究科,Economics,PhD candidate in Decision Theory,
Albert D. Lau,59981145d961dd8c1ecc49cd,博士生,Neoma,Neoma Business School,Business Administation / Management Science,"Research fellow in strategy and marketing, branding and consumer behavior","2015-    Research fellow of Academy of Shanghai Social Science
"
Sf Geng,5999441b7efa32c12c4947d1,工程师,广汽集团汽车工程研究院,新能源中心,Engineering,"Vehicle Engineering;
New Energy Vehicle, EV, VCU;
SW Testing(Mil, Sil, Hil).","吉林大学车辆工程专业硕士，期间主研纯电动车电子电器架构、整车控制器（VCU）控制逻辑，亦研究ACC（自适应巡航控制）控制策略，动手能力强。

现任职于广汽集团汽车工程研究院新能源中心，负责VCU应用层软件开发及测试。

熟悉及热爱传统及新能源汽车各方面知识，了解行业动态。专业知识丰富。英语表达能力强。"
陈杰,59998796d961dd8c1ecc49d8,投行员,东兴证券,投行部,Arts and Literature,专业金融，爱好茶,"10年的证券投资行业工作，研究二级市场，投资二级市场；进入过信托行业，为房地产、城投融资。最后回归证券市场
5年的喝茶、泡茶、采摘、制作、品鉴的工作爱好"
J.H.Yang,599465e1d961dd8c1ecc4977,学生,中央音乐学院,管弦系,Arts and Literature,,
Zhu Hui,59940e9f7efa32c12c4946f6,博士,广州大学,工商管理学院,Computer and Information Science,广州大学 工商管理学院 电子商务系 讲师,
chunyu,59939b61d961dd8c1ecc4963,教授,大学,公共管理,Law,,
平衡,59931b967efa32c12c4946d3,教师,高校,,Psychology,心理健康教育 思想政治教育,副教授
Novolari,5992dc9dd961dd8c1ecc4954,Phd Candidate,USTC,统计金融系,Economics / Finance,"Phd Candidate, USTC",
,59927b967efa32c12c4946b4,博士,北京大学,力学系,Mthematics,,
大象无发型,599038ba7efa32c12c4945de,讲师,福建农林大学,管理学院,Economics,,
Summer,598febda7efa32c12c4945ca,学生,中科大,工商管理学院,Economics / Finance,,
金超杰,598f9a1e7efa32c12c4945bc,博士生,,雷恩商学院,Economics / Finance,,
猫土豆,598e7368d961dd8c1ecc47d1,研究生,西安理工大学,理学院,Economics,研究狗,
清欢,598dab1ed961dd8c1ecc475f,学生,燕京理工学院,,Arts and Literature,💃,
雷雷,598d840f7efa32c12c494546,学生,上海交通大学,,Biological Sciences,在读研究生,
安民,598d54467efa32c12c494543,教师,昌吉学院,经济管理系,Economics,经济学文献搬运工,
Jane,598c98f6d961dd8c1ecc473b,讲师,南师大,商学院,Social Sciences,青年教师,
Yifan Hu,598cd224d961dd8c1ecc4741,Graduate student,"University of Illinois, Urbana-Champaign",Psychology,Psychology,Cognitive Neuroscience,
Lry,598b2d3dd961dd8c1ecc4726,硕士生,国际关系学院,心理教育研究中心,Psychology,心理学研究僧，致力于考博写论文发paper不懈努力中,"本科四年心理学
工作三年心理学相关
硕士两年心理学"
张晓庆,598af338d961dd8c1ecc4723,博士生,新加坡国立大学,计算机学院,Business Administation / Management Science,新加坡国立大学,N.A.
蒋小当,598ac6ee7efa32c12c4944e9,学生,南昌大学,法学院,Law,略略略略略,
邵冰,598aa6f77efa32c12c4944e5,本科生,承德医学院,心理学系,Psychology,,
小唐,598abcfed961dd8c1ecc471c,硕士生,浙江师范大学,教师教育学院,Psychology,"应用心理学硕士 
心理科普工作积极爱好者",
luke,5989b593d961dd8c1ecc46ef,博士生,南开,金融,Economics / Finance,学生,
Misspoppy,598979d1d961dd8c1ecc46ec,在读博士研究生,中南财经政法大学,市场营销系,Business Administation / Management Science,,
杨家欣,59892d4d7efa32c12c4944ab,硕士研究生,中国药科大学,商学院,Economics,今年25岁，双鱼座女生，管理学硕士，擅长经管类及具有医药背景的领域分析，研究生期间获得多次奖项，其中包括“挑战杯”全国金奖，并且在课题组开展读书报告会，定期分析分享优秀硕博士论文，对分析论文有一定基础。热爱生活、积极向上，要做一个不严肃的学术汪！,研究主要集中于医药产业经济与政策分析，撰写论文三篇，前后主持负责项目十余项。撰写论文两篇为杂志约稿，另一篇为研究成果，分别为《2014年江苏省医药产业发展概况》、《2015年江苏省医药产业发展概况》、《BP神经网络在医药企业绩效评价中的应用-以我国中成药企业为例》。2014.3-2015.3《江苏省医药产业发展年度报告（2013）》主要研究内容为阐述江苏省在2013年医药产业发展情况，并前往山西、广西全国五地进行调研，对行业进行多地比较分析，并从当年的产业政策给予分析评价；2014.9-2015.9《健康统计学模型建立》在统计学的基础上分析健康学领域的应用并按章节编写适合医药医学类人才的高级教材；2015.3-2016.3《江苏省生物医药产业发展结构升级路径研究》探寻江苏省生物医药产业发展转型的路径研究，参与江苏省内多地调研，并运用计量经济学模型以及管理分析方法对结果进行梳理分析，达到研究结果；2015.9-2016.9《江苏省生物医药产业发展战略研究》运用SWOT分析以及大量数据对比分析，结合产业发展战略学研究，对江苏省生物医药产业的发展战略提出相应建议；2015.9-2016.9《南京市药品安全白皮书》协助省科技厅完成南京市药品安全报告，去往省内多地调研；2016.8-2017.3《重庆迎龙药谷建设方案》与重庆市医药行业、医药商业协会共同合作，为重庆市迎龙药谷的建设提供合理方案，参照南京药谷、百家汇等模式构建集仓储、物流、销售于一体的多方位药谷，以上为较为部分典型的课题研究。同时在研究生阶段，每周课题组内将开展读书报告会，内容为分析医药行业、经管类相关文章，每次汇报近四十分钟，内容涵盖作者简介、论文的研究背景与意义、论文框架、论文内容、论文结论以及感悟思考，因此对于文章分析十分熟练。
jaesuk,598929491a6cce40363821b3,学生,华中科技大学,电气与电子工程学院,Electrical and Electronic Engineering,电气工程专业研究生,
季建文,59847a757efa32c12c494447,学生,辽宁师范大学,海洋经济与可持续发展研究中心,Economics,简单的学生,
郭翠玲,598454347efa32c12c494445,博士生,罗兰大学,心理学院,Psychology,在读博士僧,"1. 汉字认知研究（汉字拼写障碍认知机制研究）；
2. ADHD行为干预与治疗。"
路海娟,5983e5921a6cce4036382144,硕士,人民大学,信管学院,Computer and Information Science,人大硕士，文字工作者，手绘摄影爱好者，崇尚丰盛而热烈的活着。,
喻泽,598363761a6cce403638213e,学生,美国东北大学,工程学院,Computer and Information Science,Freedom has a price.,
Lxppuppy,59831de61a6cce4036382133,博士生,北京邮电大学,经济管理学院,Business Administation / Management Science,北邮管理IS博士生,
ZAJ,5981b3bd1a6cce40363820fc,beijing,central university of finance and economics,school of sociology and psychology ,Psychology,,
Dawn6780,598052387efa32c12c49439f,博士生,sjtu,经管学院,Business Administation / Management Science,sjsu 管科在读,
faye,597fec411a6cce40363820bc,学生,南京大学,,Arts and Literature,,
刘文婕,597ebabe7efa32c12c494339,学生,北京工商大学,经济学院,Economics / Finance,北京工商大学经济学院本科生，专业金融学，喜欢研读文章并找到乐趣。已发表两篇核心期刊论文,两篇核心期刊论文。关于期货价格风险传导，跨境投资企业衍生品使用者
王娟,597e66051a6cce4036382093,博士生,中国科学技术大学,管理学院,Business Administation / Management Science,开心生活，快乐科研。,
Judy,597d99511a6cce4036382086,博士生,华中科技大学,公共管理学院,Business Administation / Management Science,JOB研究者,
一朝白暮无所诽,597c42e27efa32c12c4942f5,学生,北京师范大学,心理学部,Psychology,,
Ghavri,597beb697efa32c12c4942f3,student,University of Auckland,Global Management and Innovation,Business Administation / Management Science,A banker by experience. Currently pursuing MCOM at the University of Auckland.,Minimum wage in Malaysia
clx_psy,597b41501a6cce4036381fd8,硕士生,华南师范大学,心理学院,Psychology,,华南师范大学心理学硕士生
蓝云儿,597b40827efa32c12c4942ec,学生,华师,心理学院,Psychology,简单，恬静，独自，自强，做一个温柔的女汉子......,
年轻的黄瓜777,597aed2a1a6cce4036381fcc,刚就业的小白,上财毕业,市场营销专业,Business Administation / Management Science,对各种有趣的论文保持着浓厚的兴趣~,看过一些公司治理和市场营销方面的论文
章晓聪,5979a1171a6cce4036381fa4,硕士,浙江大学,医学院,Medicine,流行病／卫生统计学,小白一只，待挖掘～
Yi Ding,5979c08d1a6cce4036381fa6,PhD student,Vrije Universiteit Amsterdam,Department of Experimental and Applied Psychology,Psychology,PhD student in social psychology,
谢丰励,5979ad6b7efa32c12c4942c9,学生,湘潭大学,湘潭大学商学院,Business Administation / Management Science,工商管理学生。,
吴兴翰,597951ae7efa32c12c4942c1,博士生,哈尔滨工业大学,电子健康研究所,Computer and Information Science,行胜于言,"四川大学 生长代谢衰老中心
清华大学 结构生物学中心"
杨春江,59789ea97efa32c12c49425e,教授,燕山大学,经济管理学院,Business Administation / Management Science,教师,博士，教授
Clare Tang,59780c257efa32c12c49425b,Graduated students of Marketing, Peking University,Marketing Dept. Guanghua School of Management,Business Administation / Management Science,"Focus: customer satisfaction, customer experience improvment, high-end service",
Noah GAO,5977587b1a6cce4036381f08,本科生,北京师范大学,经济与工商管理学院,Economics,学术小白,
PKU-CY,597754707efa32c12c49424a,博士研究生,PKU,GSM,Arts and Literature,Comme la vie scintille,
李楠,597715cf1a6cce4036381ef6,学生,河北金融学院,管理系,Business Administation / Management Science,河北金融学院外联部部长,河北金融学院外联部部长，在保定市文昌印刷有限公司实习半年，任职期间，从未迟到早退。前三个月完成公司环保的十环认证，后三个月在财务室工作认真负责。公司老板想培养接班人，婉言谢绝。自身对管理特别感兴趣，指导学弟学妹们写论文，希望可以成为唧唧堂的一员。
张力钧,5976ecb27efa32c12c494235,硕士,中南大学,商学院,Economics,爱想象的经济学学生,
孔兰兰,5976aa6e1a6cce4036381eaa,大学教师,江苏大学,管理学院,Business Administation / Management Science,管理学博士,
从不妥协的猫,5975cf5c1a6cce4036381dd1,博士生,电子科技大学,经济与管理学院,Business Administation / Management Science,管理学博士在读,
Jiangwilbur,5974a2ab7efa32c12c49411c,博士生,西北工业大学,管理学院,Business Administation / Management Science,PHD Student,就读于西北工业大学管理学院，管理科学院与工程系，博士研究生。
穿UGG的马儿,5974836d7efa32c12c494111,PhD student,University of Melbourne,FBE,Psychology,,
Michael,5972fd287efa32c12c494086,学生,清华大学,经济管理学院,Social Sciences,Strategy~OT~Management,
田舒瑶,5973254f7efa32c12c49409a,学生,河北大学,经济学院,Environmental Sciences,经济 统计 环境,
陈涵一,5972a69d7efa32c12c49407f,博士生,厦门大学,王亚南经济研究院,,,
rosyfeelsgood,5971d6d51a6cce4036381cdd,PhD Student,University of Miami,Finance,Economics / Finance,,
李洁,59718f247efa32c12c49404c,博士,人大,经济学院,,,
李俊,596f1ffd7efa32c12c493f9b,学生,锡材研究院,锡材研究院,Chemistry,化学工程师,锡基材料研究
程小慧,596f552f1a6cce4036381bf0,学生,山西师范大学,心理学,Psychology,心理学本科三年级,
Green,596f0d1e1a6cce4036381beb,学生,兰州大学,经济学院,Economics / Finance,年轻的经济人,
涂铭,596de7667efa32c12c493f74,讲师,华中农业大学,经济管理学院,Arts and Literature,市场营销、消费行为、消费心理,
will,596e0dc31a6cce4036381be2,硕士,湖北大学,商学院,Business Administation / Management Science,nothing serious ,
剑锋,596dcda67efa32c12c493f73,博士研究生,华南理工大学,工商管理学院,Business Administation / Management Science,研究领域：创新与创业管理,创新管理
zlq,596d626c7efa32c12c493f71,学生,重庆医科大学,儿童医院,Biological Sciences,肠道免疫，神经免疫,全身疾病对脑的作用
lawrence杨,596ad5dc1a6cce4036381a64,研究生,华中师范大学,经济与工商管理学院,Economics,爱科研、爱生活,
Joanna Qiang,596b524c1a6cce4036381ab5,学生,中科院,中丹学院,Business Administation / Management Science,"Public Management and Social Development
Urban Planning",
DI,596b23117efa32c12c493e64,硕士研究生在读,华东理工大学,商学院,Business Administation / Management Science,,
灰灰晖,596a00c97efa32c12c493e4d,学生,浙江大学,心理与行为科学系,Psychology,心理学本科生,
仄平,59690bf8adcc9ad63640f4d9,,,,,一个好奇者，专业在财经，喜欢历史，心理学和社会学,
王奎,59690bf17efa32c12c493e23,博士生,厦门大学,管理学院,Business Administation / Management Science,市场营销研究人员,上学
白熊小黑,5968bdaf7efa32c12c493e22,学生,北京大学,心理学院,Psychology,,
便宜老爸,59686d01adcc9ad63640f4d2,博士,北师大,心理,Psychology,心理学爱好者,
